in s,C1 in V,C2 in V,ARB0
-5.180000E-04,4.88281E-03,2.92969E-02,6.1817395E-06
-5.179976E-04,2.44141E-02,4.88281E-02,6.1817395E-06
-5.179952E-04,4.88281E-03,6.83594E-02,6.1817395E-06
-5.179928E-04,6.34766E-02,-9.76562E-03,6.1817395E-06
-5.179904E-04,1.46484E-02,9.76562E-03,6.1817395E-06
-5.179880E-04,6.34766E-02,8.78906E-02,6.1817395E-06
-5.179856E-04,-4.88281E-03,4.88281E-02,6.1817395E-06
-5.179832E-04,4.88281E-03,-6.83594E-02,6.1817395E-06
-5.179808E-04,1.46484E-02,9.76562E-03,6.1817395E-06
-5.179784E-04,4.88281E-03,-2.92969E-02,6.1817395E-06
-5.179760E-04,4.88281E-03,-9.76562E-03,6.1817395E-06
-5.179736E-04,3.41797E-02,6.83594E-02,6.1817395E-06
-5.179712E-04,4.88281E-03,9.76562E-03,6.1817395E-06
-5.179688E-04,2.44141E-02,-2.92969E-02,6.1817395E-06
-5.179664E-04,3.41797E-02,-2.92969E-02,6.1817395E-06
-5.179640E-04,4.88281E-03,4.88281E-02,6.1817395E-06
-5.179616E-04,4.88281E-03,-9.76562E-03,6.1817395E-06
-5.179592E-04,1.46484E-02,-9.76562E-03,6.1817395E-06
-5.179568E-04,-2.44141E-02,-9.76562E-03,6.1817395E-06
-5.179544E-04,7.32422E-02,-9.76562E-03,6.1817395E-06
-5.179520E-04,1.46484E-02,-4.88281E-02,6.1817395E-06
-5.179496E-04,1.46484E-02,-4.88281E-02,6.1817395E-06
-5.179472E-04,4.88281E-03,-9.76562E-03,6.1817395E-06
-5.179448E-04,2.44141E-02,-9.76562E-03,6.1817395E-06
-5.179424E-04,3.41797E-02,-2.92969E-02,6.1817395E-06
-5.179400E-04,1.46484E-02,-4.88281E-02,6.1817395E-06
-5.179376E-04,1.46484E-02,2.92969E-02,6.1817395E-06
-5.179352E-04,4.88281E-03,2.92969E-02,6.1817395E-06
-5.179328E-04,2.44141E-02,2.92969E-02,6.1817395E-06
-5.179304E-04,3.41797E-02,9.76562E-03,6.1817395E-06
-5.179280E-04,-1.46484E-02,-9.76562E-03,6.1817395E-06
-5.179256E-04,4.88281E-03,-9.76562E-03,6.1817395E-06
-5.179232E-04,-4.88281E-03,2.92969E-02,6.1817395E-06
-5.179208E-04,3.41797E-02,-6.83594E-02,6.1817395E-06
-5.179184E-04,4.88281E-03,-6.83594E-02,6.1817395E-06
-5.179160E-04,-2.44141E-02,4.88281E-02,6.1817395E-06
-5.179136E-04,2.44141E-02,2.92969E-02,6.1817395E-06
-5.179112E-04,-4.88281E-03,-2.92969E-02,6.1817395E-06
-5.179088E-04,-4.88281E-03,9.76562E-03,6.1817395E-06
-5.179064E-04,4.88281E-03,8.78906E-02,6.1817395E-06
-5.179040E-04,1.46484E-02,-2.92969E-02,6.1817395E-06
-5.179016E-04,4.88281E-03,9.76562E-03,6.1817395E-06
-5.178992E-04,-4.88281E-03,6.83594E-02,6.1817395E-06
-5.178968E-04,2.44141E-02,4.88281E-02,6.1817395E-06
-5.178944E-04,2.44141E-02,-2.92969E-02,6.1817395E-06
-5.178920E-04,-4.88281E-03,-2.92969E-02,6.1817395E-06
-5.178896E-04,-1.46484E-02,4.88281E-02,6.1817395E-06
-5.178872E-04,2.44141E-02,-2.92969E-02,6.1817395E-06
-5.178848E-04,-1.46484E-02,9.76562E-03,6.1817395E-06
-5.178824E-04,4.88281E-03,-2.92969E-02,6.1817395E-06
-5.178800E-04,1.46484E-02,-4.88281E-02,6.1817395E-06
-5.178776E-04,-3.41797E-02,9.76562E-03,6.1817395E-06
-5.178752E-04,-4.88281E-03,9.76562E-03,6.1817395E-06
-5.178728E-04,-2.44141E-02,-4.88281E-02,6.1817395E-06
-5.178704E-04,-3.41797E-02,9.76562E-03,6.1817395E-06
-5.178680E-04,1.46484E-02,8.78906E-02,6.1817395E-06
-5.178656E-04,2.44141E-02,-9.76562E-03,6.1817395E-06
-5.178632E-04,2.44141E-02,-9.76562E-03,6.1817395E-06
-5.178608E-04,-4.88281E-03,-9.76562E-03,6.1817395E-06
-5.178584E-04,-2.44141E-02,-6.83594E-02,6.1817395E-06
-5.178560E-04,2.44141E-02,-9.76562E-03,6.1817395E-06
-5.178536E-04,-4.88281E-03,4.88281E-02,6.1817395E-06
-5.178512E-04,-1.46484E-02,9.76562E-03,6.1817395E-06
-5.178488E-04,-4.88281E-03,9.76562E-03,6.1817395E-06
-5.178464E-04,-4.88281E-03,2.92969E-02,6.1817395E-06
-5.178440E-04,4.88281E-03,4.88281E-02,6.1817395E-06
-5.178416E-04,-4.88281E-03,2.92969E-02,6.1817395E-06
-5.178392E-04,4.88281E-03,9.76562E-03,6.1817395E-06
-5.178368E-04,-4.88281E-03,-2.92969E-02,6.1817395E-06
-5.178344E-04,4.88281E-03,9.76562E-03,6.1817395E-06
-5.178320E-04,-4.88281E-03,2.92969E-02,6.1817395E-06
-5.178296E-04,1.46484E-02,-9.76562E-03,6.1817395E-06
-5.178272E-04,4.88281E-03,-2.92969E-02,6.1817395E-06
-5.178248E-04,4.88281E-03,-6.83594E-02,6.1817395E-06
-5.178224E-04,1.46484E-02,9.76562E-03,6.1817395E-06
-5.178200E-04,1.46484E-02,9.76562E-03,6.1817395E-06
-5.178176E-04,4.88281E-03,9.76562E-03,6.1817395E-06
-5.178152E-04,-2.44141E-02,8.78906E-02,6.1817395E-06
-5.178128E-04,-3.41797E-02,-2.92969E-02,6.1817395E-06
-5.178104E-04,4.88281E-03,6.83594E-02,6.1817395E-06
-5.178080E-04,4.88281E-03,-2.92969E-02,6.1817395E-06
-5.178056E-04,4.88281E-03,-9.76562E-03,6.1817395E-06
-5.178032E-04,-1.46484E-02,9.76562E-03,6.1817395E-06
-5.178008E-04,1.46484E-02,9.76562E-03,6.1817395E-06
-5.177984E-04,-4.88281E-03,9.76562E-03,6.1817395E-06
-5.177960E-04,4.88281E-03,2.92969E-02,6.1817395E-06
-5.177936E-04,-1.46484E-02,6.83594E-02,6.1817395E-06
-5.177912E-04,4.88281E-03,9.76562E-03,6.1817395E-06
-5.177888E-04,-4.88281E-03,-9.76562E-03,6.1817395E-06
-5.177864E-04,4.88281E-03,-9.76562E-03,6.1817395E-06
-5.177840E-04,-4.88281E-03,4.88281E-02,6.1817395E-06
-5.177816E-04,4.39453E-02,9.76562E-03,6.1817395E-06
-5.177792E-04,-4.88281E-03,1.07422E-01,6.1817395E-06
-5.177768E-04,-4.88281E-03,-4.88281E-02,6.1817395E-06
-5.177744E-04,-4.88281E-03,-9.76562E-03,6.1817395E-06
-5.177720E-04,1.46484E-02,6.83594E-02,6.1817395E-06
-5.177696E-04,3.41797E-02,-4.88281E-02,6.1817395E-06
-5.177672E-04,3.41797E-02,-4.88281E-02,6.1817395E-06
-5.177648E-04,2.44141E-02,-4.88281E-02,6.1817395E-06
-5.177624E-04,3.41797E-02,9.76562E-03,6.1817395E-06
-5.177600E-04,3.41797E-02,9.76562E-03,6.1817395E-06
-5.177576E-04,4.88281E-03,4.88281E-02,6.1817395E-06
-5.177552E-04,-1.46484E-02,-6.83594E-02,6.1817395E-06
-5.177528E-04,-4.88281E-03,-6.83594E-02,6.1817395E-06
-5.177504E-04,-4.88281E-03,-9.76562E-03,6.1817395E-06
-5.177480E-04,-4.88281E-03,-9.76562E-03,6.1817395E-06
-5.177456E-04,4.88281E-03,-2.92969E-02,6.1817395E-06
-5.177432E-04,4.88281E-03,2.92969E-02,6.1817395E-06
-5.177408E-04,-4.88281E-03,4.88281E-02,6.1817395E-06
-5.177384E-04,1.46484E-02,4.88281E-02,6.1817395E-06
-5.177360E-04,-4.88281E-03,2.92969E-02,6.1817395E-06
-5.177336E-04,1.46484E-02,9.76562E-03,6.1817395E-06
-5.177312E-04,2.44141E-02,4.88281E-02,6.1817395E-06
-5.177288E-04,4.88281E-03,-6.83594E-02,6.1817395E-06
-5.177264E-04,-2.44141E-02,1.07422E-01,6.1817395E-06
-5.177240E-04,-1.46484E-02,-9.76562E-03,6.1817395E-06
-5.177216E-04,4.88281E-03,2.92969E-02,6.1817395E-06
-5.177192E-04,4.88281E-03,-4.88281E-02,6.1817395E-06
-5.177168E-04,-4.88281E-03,4.88281E-02,6.1817395E-06
