f_Hz,H_real,H_imag,H_mag,H_phase_rad
0.000000000000000000e+00,6.021745583352130712e-03,0.000000000000000000e+00,6.021745583352130712e-03,0.000000000000000000e+00
1.999999999999849751e+04,2.572985217329547443e-03,2.034358423445585453e-03,3.280071207099075591e-03,6.690202783228775818e-01
3.999999999999699503e+04,7.317990044618613403e-03,1.668420810905940155e-03,7.505771532321055782e-03,2.241575332249773067e-01
5.999999999999548891e+04,3.585409830293696982e-03,-3.583417470861752132e-03,5.069126593570524517e-03,-7.851202435512933953e-01
7.999999999999399006e+04,9.090728957992582574e-04,-2.679256595332302421e-04,9.477329206655035363e-04,-2.866094866156206900e-01
9.999999999999249121e+04,2.445562861290162104e-03,1.806759202090676888e-03,3.040584898150529465e-03,6.362885013576349280e-01
1.199999999999909778e+05,6.168300128530697195e-03,2.003899533539198023e-03,6.485641048975068247e-03,3.141148816587705506e-01
1.399999999999894935e+05,1.027558112648007879e-02,1.407099898507388751e-04,1.027654449647922262e-02,1.369277260417702674e-02
1.599999999999879801e+05,1.262119622576861680e-02,1.007571954194945137e-03,1.266135045768168252e-02,7.966278551105751560e-02
1.799999999999864667e+05,2.409154084630671377e-02,-8.541571002025427975e-03,2.556092282238469141e-02,-3.407193798435363408e-01
1.999999999999849824e+05,8.768049645480199827e-02,4.333346958789924264e-02,9.780418725742745512e-02,4.590130608249006761e-01
2.199999999999834690e+05,-1.509672688247508110e-01,-1.518630981410542535e-01,2.141343429564815659e-01,-2.353236310297129208e+00
2.399999999999819556e+05,1.530798065151031673e-01,3.563291282426756662e-02,1.571722992102720096e-01,2.287008812756836651e-01
2.599999999999804713e+05,-1.276727324412005871e-01,-7.977333642645603046e-03,1.279217122346651414e-01,-3.079191102798171098e+00
2.799999999999789870e+05,3.907144265556454221e-01,2.778793247266607702e-01,4.794524817218613899e-01,6.182087399626619018e-01
2.999999999999774736e+05,1.001372346157668874e-01,-2.284593279410405409e-01,2.494416370210976730e-01,-1.157701714907599211e+00
3.199999999999759602e+05,-1.837110946891872543e-01,8.306844262698142023e-01,8.507563589883475608e-01,1.788449283090510322e+00
3.399999999999744468e+05,-5.112488761329390119e-01,-3.601526358061552524e-01,6.253681591073487755e-01,-2.527881952617188066e+00
3.599999999999729334e+05,-4.456486762656876599e-01,-8.759106099273906709e-01,9.827625039859495537e-01,-2.041445847938486047e+00
3.799999999999714782e+05,7.819955634141566581e-01,1.707499319414854888e+00,1.878049782886922703e+00,1.141328489438772298e+00
3.999999999999699648e+05,4.907488094678057883e-02,-1.350567665892432156e+00,1.351458976104740195e+00,-1.534475821892533842e+00
4.199999999999684514e+05,-5.698897638710532787e-01,1.208630397825595448e+00,1.336249146496663709e+00,2.011399003812794462e+00
4.399999999999669380e+05,-4.668239152860165220e-01,1.631527853634427705e-01,4.945132953266428988e-01,2.805367486149516587e+00
4.599999999999654246e+05,-2.227684962211237685e-01,-8.221683509441286564e-01,8.518137121476789808e-01,-1.835395645331184822e+00
4.799999999999639113e+05,2.355846565590262176e-01,-8.360032270936559318e-01,8.685629085547235118e-01,-1.296120432231431252e+00
4.999999999999624561e+05,-1.454150811521390141e+00,3.942669043757205394e+00,4.202284351546152763e+00,1.924141423680518326e+00
5.199999999999609427e+05,2.537230929558606629e+00,1.390639538799072206e+00,2.893340477161325364e+00,5.013782357978258108e-01
5.399999999999594875e+05,1.838467648803827625e-01,-6.629176628926692905e-01,6.879385588350616088e-01,-1.300265493386255633e+00
5.599999999999579741e+05,-1.373785938164108433e+00,-4.922734772304468986e-01,1.459322096139846314e+00,-2.797513186719040146e+00
5.799999999999564607e+05,4.389652884524585241e-01,-2.291482214963888320e-01,4.951761624726176425e-01,-4.811072426176313810e-01
5.999999999999549473e+05,4.454019749195671785e-01,-5.426103414915512957e-01,7.020034914128480130e-01,-8.834703331908533297e-01
6.199999999999534339e+05,-5.294415575220775549e-01,-3.307856288259782285e-01,6.242815831571528751e-01,-2.583150017619268102e+00
6.399999999999519205e+05,-7.237559812545614202e-01,8.934763856025831896e-03,7.238111289603912368e-01,3.129248285810867891e+00
6.599999999999504071e+05,-7.789773049450097187e-01,-2.657365051794434718e-01,8.230562142432162887e-01,-2.812837014632014299e+00
6.799999999999488937e+05,3.427695229902575358e-01,1.356193132404286184e+00,1.398839075187535030e+00,1.323236854308779131e+00
6.999999999999473803e+05,-1.355311805593794883e-01,7.322551159105620232e-03,1.357288497678251493e-01,3.087616597761334347e+00
7.199999999999458669e+05,-5.544991988721339471e-01,-4.079837571055228707e-01,6.884185555399975343e-01,-2.507261260011411252e+00
7.399999999999443535e+05,-6.124657508913783355e-01,-4.072900023533325142e-01,7.355266426390805190e-01,-2.554744469204093260e+00
7.599999999999429565e+05,-1.029989045894613570e-01,-1.557330335261054022e-01,1.867124850615834719e-01,-2.155130847240604997e+00
7.799999999999414431e+05,5.232947191485833871e-01,7.320568358420068700e-01,8.998580854733738699e-01,9.501878560737501145e-01
7.999999999999399297e+05,-2.764922068595753735e-01,3.414520430661071582e-01,4.393602601147456044e-01,2.251456683071617615e+00
8.199999999999384163e+05,7.780500496999169791e-01,2.521594187545112553e-01,8.178913450481403169e-01,3.134099854687795728e-01
8.399999999999369029e+05,4.343700594283216532e+00,1.275253170990606311e+00,4.527030539205358473e+00,2.855627922019398635e-01
8.599999999999353895e+05,-1.985961635721662333e+01,-2.197952527459962369e+01,2.962269219960585787e+01,-2.305569704190097546e+00
8.799999999999338761e+05,1.463902296679902848e-01,4.983412299297312886e-01,5.193978059157779992e-01,1.285078688635044708e+00
8.999999999999323627e+05,2.161450216825073323e+00,-2.188861689890865547e-01,2.172505050578220409e+00,-1.009241359846101832e-01
9.199999999999308493e+05,-1.031348642425198969e+00,2.975708555450525261e-01,1.073419040404126168e+00,2.860695458622886544e+00
9.399999999999293359e+05,-6.361283402446460400e-01,2.907397992640614603e-01,6.994204001446590047e-01,2.712894892278578496e+00
