in s,C1 in V,C2 in V,C4 in V,ARB0
-5.460000E-04,-4.39453E-02,-9.76562E-03,-7.44141E-02,6.1817395E-06
-5.459976E-04,-3.41797E-02,-9.76562E-03,-7.44141E-02,6.1817395E-06
-5.459952E-04,-4.88281E-03,2.92969E-02,-2.55859E-02,6.1817395E-06
-5.459928E-04,4.88281E-03,-2.92969E-02,2.18555E-01,6.1817395E-06
-5.459904E-04,-4.88281E-03,-9.76562E-03,2.32422E-02,6.1817395E-06
-5.459880E-04,-3.41797E-02,-9.76562E-03,-7.44141E-02,6.1817395E-06
-5.459856E-04,-4.39453E-02,-4.88281E-02,-1.72070E-01,6.1817395E-06
-5.459832E-04,-4.39453E-02,-9.76562E-03,-2.69727E-01,6.1817395E-06
-5.459808E-04,-4.39453E-02,4.88281E-02,-2.20898E-01,6.1817395E-06
-5.459784E-04,-4.88281E-03,-2.92969E-02,1.20898E-01,6.1817395E-06
-5.459760E-04,-4.39453E-02,4.88281E-02,-1.23242E-01,6.1817395E-06
-5.459736E-04,-4.88281E-03,-4.88281E-02,-2.55859E-02,6.1817395E-06
-5.459712E-04,-4.39453E-02,-9.76562E-03,-1.72070E-01,6.1817395E-06
-5.459688E-04,-4.88281E-03,-9.76562E-03,-7.44141E-02,6.1817395E-06
-5.459664E-04,-3.41797E-02,9.76562E-03,7.20703E-02,6.1817395E-06
-5.459640E-04,-3.41797E-02,-4.88281E-02,-2.20898E-01,6.1817395E-06
-5.459616E-04,-3.41797E-02,-8.78906E-02,-1.23242E-01,6.1817395E-06
-5.459592E-04,-4.88281E-03,-2.92969E-02,-1.72070E-01,6.1817395E-06
-5.459568E-04,-3.41797E-02,-1.07422E-01,7.20703E-02,6.1817395E-06
-5.459544E-04,-2.44141E-02,-2.92969E-02,-1.72070E-01,6.1817395E-06
-5.459520E-04,-1.46484E-02,9.76562E-03,-2.55859E-02,6.1817395E-06
-5.459496E-04,-1.46484E-02,-2.92969E-02,2.32422E-02,6.1817395E-06
-5.459472E-04,-3.41797E-02,4.88281E-02,-1.72070E-01,6.1817395E-06
-5.459448E-04,-3.41797E-02,-4.88281E-02,2.67383E-01,6.1817395E-06
-5.459424E-04,-3.41797E-02,-6.83594E-02,-1.72070E-01,6.1817395E-06
-5.459400E-04,-2.44141E-02,-9.76562E-03,7.20703E-02,6.1817395E-06
-5.459376E-04,-5.37109E-02,-9.76562E-03,2.32422E-02,6.1817395E-06
-5.459352E-04,-4.88281E-03,-9.76562E-03,2.32422E-02,6.1817395E-06
-5.459328E-04,-4.39453E-02,-4.88281E-02,-2.20898E-01,6.1817395E-06
-5.459304E-04,-3.41797E-02,2.92969E-02,-7.44141E-02,6.1817395E-06
-5.459280E-04,-4.88281E-03,9.76562E-03,-1.23242E-01,6.1817395E-06
-5.459256E-04,-5.37109E-02,-9.76562E-03,1.20898E-01,6.1817395E-06
-5.459232E-04,-1.46484E-02,-2.92969E-02,-2.20898E-01,6.1817395E-06
-5.459208E-04,-3.41797E-02,-9.76562E-03,-7.44141E-02,6.1817395E-06
-5.459184E-04,-1.46484E-02,9.76562E-03,2.32422E-02,6.1817395E-06
-5.459160E-04,4.88281E-03,-2.92969E-02,-1.72070E-01,6.1817395E-06
-5.459136E-04,-1.46484E-02,-2.92969E-02,7.20703E-02,6.1817395E-06
-5.459112E-04,-3.41797E-02,-6.83594E-02,-7.44141E-02,6.1817395E-06
-5.459088E-04,-4.39453E-02,9.76562E-03,2.32422E-02,6.1817395E-06
